Herd, Vaccinated, Birth_time, Death_time, Vaccination_time, Reactor, VL
5730,0,-367.209,15.7989,-1,0,0
5730,0,-385.237,15.8168,-1,0,0
5730,0,-385.223,15.845,-1,0,0
5730,0,-383.151,15.8735,-1,0,0
5730,0,-601.199,15.8931,-1,0,0
5730,0,-439.15,15.9127,-1,0,0
5730,0,-439.104,15.9143,-1,0,0
5730,0,-385.208,15.9256,-1,0,0
5730,0,-396.094,15.9363,-1,0,0
5730,0,-381.119,15.9595,-1,0,0
5730,0,-368.115,15.9979,-1,0,0
5730,0,-439.119,16.0223,-1,0,0
5730,0,-385.001,16.0634,-1,0,0
5730,0,-367.152,16.0663,-1,0,0
5730,0,-601.122,16.0826,-1,0,0
5730,0,-385.134,16.083,-1,0,0
5730,0,-385.047,16.1622,-1,0,0
5730,0,-338.221,17.0024,-1,0,0
5730,0,-338.075,17.0326,-1,0,0
5730,0,-359.242,64.8214,-1,0,0
5730,0,-359.187,64.8278,-1,0,0
5730,0,-376.193,64.884,-1,0,0
5730,0,-359.147,64.9129,-1,0,0
5730,0,-359.109,64.9174,-1,0,0
5730,0,-359.143,64.9374,-1,0,0
5730,0,-359.207,64.9406,-1,0,0
5730,0,-378.137,64.943,-1,0,0
5730,0,-367.195,64.9577,-1,0,0
5730,0,-359.074,65.0126,-1,0,0
5730,0,-359.039,65.0154,-1,0,0
5730,0,-376.159,65.0597,-1,0,0
5730,0,-359.004,65.0853,-1,0,0
5730,0,-360.007,65.1478,-1,0,0
5730,0,-376.017,65.1745,-1,0,0
5730,0,-383.046,65.1838,-1,0,0
5730,0,-383,65.1918,-1,0,0
5730,0,-383.244,69.8495,-1,0,0
5730,0,-2568.07,78.0864,-1,0,0
5730,0,-2437.22,90.8996,-1,0,0
5730,0,-2421.19,90.9132,-1,0,0
5730,0,-922.203,90.9549,-1,0,0
5730,0,-922.185,90.9839,-1,0,0
5730,0,-363.014,91.1652,-1,0,0
5730,0,-2124.14,91.9556,-1,0,0
5730,0,-335.07,91.9645,-1,0,0
5730,0,-363.105,91.9706,-1,0,0
5730,0,-2124.21,92.0097,-1,0,0
5730,0,-1871.22,92.0153,-1,0,0
5730,0,-348.083,92.0399,-1,0,0
5730,0,-337.065,92.0407,-1,0,0
5730,0,-348.117,92.0669,-1,0,0
5730,0,-348.181,92.067,-1,0,0
5730,0,-349.047,92.1422,-1,0,0
5730,0,-335.003,92.2431,-1,0,0
5730,0,-1867.18,98.99,-1,0,0
5730,0,-1867.04,99.1814,-1,0,0
5730,0,-265.186,117.835,-1,0,0
5730,0,-274.127,118.073,-1,0,0
5730,0,-303.223,118.78,-1,0,0
5730,0,-333.249,118.816,-1,0,0
5730,0,-319.192,118.843,-1,0,0
5730,0,-267.243,118.906,-1,0,0
5730,0,-322.18,119.016,-1,0,0
5730,0,-275.185,119.038,-1,0,0
5730,0,-319.046,119.04,-1,0,0
5730,0,-319.125,119.084,-1,0,0
5730,0,-267.003,119.101,-1,0,0
5730,0,-319.067,119.131,-1,0,0
5730,0,-299.056,119.139,-1,0,0
5730,0,-313.01,119.178,-1,0,0
5730,0,-319.021,119.204,-1,0,0
5730,0,-307.225,119.8,-1,0,0
5730,0,-307.009,120.049,-1,0,0
5730,0,-307.069,120.126,-1,0,0
5730,0,-398.028,136.017,-1,0,0
5730,0,-2278.04,208.009,-1,0,0
5730,0,-2278.01,208.13,-1,0,0
5730,0,-959.231,219.843,-1,0,0
5730,0,-1624.19,219.873,-1,0,0
5730,0,-2415.09,219.935,-1,0,0
5730,0,-2415.07,219.948,-1,0,0
