Time R RSev TrueR Burden Tested Confirmed StdS StdO StdR StdI SvrS SvrO SvrR SvrI StdV1 StdV2 StdOV1 StdOV2 StdRV StdIV SvrV1 SvrV2 SvrOV1 SvrOV2 SvrRV SvrIV TestS TestO TestR TestI TestV1 TestV2 TestOV1 TestOV2 TestIV TestRV stdDIVAtests svrDIVAtests stdDIVAnegate svrDIVAnegate Replicate Removed PTI HerdSize TestType OnHerd RU RV LU LV SU IU SV IV
5172 224 224 304 309 316 114 0 0 159 65 0 0 159 65 0 0 0 0 0 0 0 0 0 0 0 0 7 5 217 87 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 224 0 0 0 7 309 0 0
5232 235 235 307 311 316 112 0 0 169 66 0 0 169 66 0 0 0 0 0 0 0 0 0 0 0 0 5 4 217 90 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 235 0 0 0 5 311 0 0
5350 233 233 297 302 316 112 0 0 161 72 0 0 161 72 0 0 0 0 0 0 0 0 0 0 0 0 14 5 207 90 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 233 0 0 0 14 302 0 0
5453 231 231 300 303 316 110 0 0 163 68 0 0 163 68 0 0 0 0 0 0 0 0 0 0 0 0 13 3 214 86 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 231 0 0 0 13 303 0 0
5530 216 216 299 300 316 92 0 0 159 57 0 0 159 57 0 0 0 0 0 0 0 0 0 0 0 0 16 1 214 85 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 216 0 0 0 16 300 0 0
5601 213 213 290 295 316 94 0 0 153 60 0 0 153 60 0 0 0 0 0 0 0 0 0 0 0 0 21 5 210 80 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 213 0 0 0 21 295 0 0
5705 215 215 300 302 316 95 0 0 162 53 0 0 162 53 0 0 0 0 0 0 0 0 0 0 0 0 14 2 226 74 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 215 0 0 0 14 302 0 0
5769 223 223 298 299 316 108 0 0 176 47 0 0 176 47 0 0 0 0 0 0 0 0 0 0 0 0 17 1 228 70 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 223 0 0 0 17 299 0 0
5833 216 216 293 296 316 105 0 0 164 52 0 0 164 52 0 0 0 0 0 0 0 0 0 0 0 0 20 3 222 71 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 216 0 0 0 20 296 0 0
5909 222 222 293 295 316 97 0 0 166 56 0 0 166 56 0 0 0 0 0 0 0 0 0 0 0 0 21 2 218 75 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 222 0 0 0 21 295 0 0
5973 202 202 298 301 316 112 0 0 147 55 0 0 147 55 0 0 0 0 0 0 0 0 0 0 0 0 15 3 217 81 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 202 0 0 0 15 301 0 0
6038 213 213 294 299 316 94 0 0 156 57 0 0 156 57 0 0 0 0 0 0 0 0 0 0 0 0 17 5 214 80 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 213 0 0 0 17 299 0 0
6098 213 213 302 306 316 102 0 0 157 56 0 0 157 56 0 0 0 0 0 0 0 0 0 0 0 0 10 4 221 81 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 213 0 0 0 10 306 0 0
6165 222 222 297 302 316 105 0 0 165 57 0 0 165 57 0 0 0 0 0 0 0 0 0 0 0 0 14 5 215 82 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 222 0 0 0 14 302 0 0
6227 220 220 299 301 316 99 0 0 164 56 0 0 164 56 0 0 0 0 0 0 0 0 0 0 0 0 15 2 215 84 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 220 0 0 0 15 301 0 0
6290 221 221 302 302 316 101 0 0 156 65 0 0 156 65 0 0 0 0 0 0 0 0 0 0 0 0 14 0 217 85 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 221 0 0 0 14 302 0 0
6363 234 234 307 309 316 135 0 0 171 63 0 0 171 63 0 0 0 0 0 0 0 0 0 0 0 0 7 2 220 87 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 234 0 0 0 7 309 0 0
6443 216 216 296 299 316 100 0 0 160 56 0 0 160 56 0 0 0 0 0 0 0 0 0 0 0 0 17 3 218 78 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 216 0 0 0 17 299 0 0
6558 231 231 298 302 316 98 0 0 176 55 0 0 176 55 0 0 0 0 0 0 0 0 0 0 0 0 14 4 221 77 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 231 0 0 0 14 302 0 0
6641 217 217 296 299 316 106 0 0 161 56 0 0 161 56 0 0 0 0 0 0 0 0 0 0 0 0 17 3 220 76 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 217 0 0 0 17 299 0 0
6705 229 229 296 301 316 91 0 0 171 58 0 0 171 58 0 0 0 0 0 0 0 0 0 0 0 0 15 5 221 75 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 229 0 0 0 15 301 0 0
6813 238 238 302 306 316 102 0 0 167 71 0 0 167 71 0 0 0 0 0 0 0 0 0 0 0 0 10 4 217 85 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 238 0 0 0 10 306 0 0
6880 229 229 297 297 316 102 0 0 165 64 0 0 165 64 0 0 0 0 0 0 0 0 0 0 0 0 19 0 210 87 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 229 0 0 0 19 297 0 0
6962 214 214 294 296 316 106 0 0 158 56 0 0 158 56 0 0 0 0 0 0 0 0 0 0 0 0 20 2 213 81 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 214 0 0 0 20 296 0 0
7022 217 217 296 299 316 93 0 0 160 57 0 0 160 57 0 0 0 0 0 0 0 0 0 0 0 0 17 3 215 81 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 217 0 0 0 17 299 0 0
7092 222 222 292 296 316 95 0 0 163 59 0 0 163 59 0 0 0 0 0 0 0 0 0 0 0 0 20 4 215 77 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 222 0 0 0 20 296 0 0
7164 215 215 294 297 316 108 0 0 165 50 0 0 165 50 0 0 0 0 0 0 0 0 0 0 0 0 19 3 221 73 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 215 0 0 0 19 297 0 0
7269 222 222 295 302 316 98 1 0 173 48 1 0 173 48 0 0 0 0 0 0 0 0 0 0 0 0 14 7 223 72 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 222 0 0 0 14 302 0 0
7361 218 218 297 299 316 112 0 0 163 55 0 0 163 55 0 0 0 0 0 0 0 0 0 0 0 0 17 2 224 73 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 218 0 0 0 17 299 0 0
7422 212 212 292 294 316 120 0 0 163 49 0 0 163 49 0 0 0 0 0 0 0 0 0 0 0 0 22 2 219 73 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 212 0 0 0 22 294 0 0
7494 226 226 292 297 316 99 0 0 174 52 0 0 174 52 0 0 0 0 0 0 0 0 0 0 0 0 19 5 220 72 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 226 0 0 0 19 297 0 0
7566 215 215 297 303 316 119 1 0 162 52 1 0 162 52 0 0 0 0 0 0 0 0 0 0 0 0 13 6 229 68 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 215 0 0 0 13 303 0 0
7652 217 217 300 301 316 113 0 0 170 47 0 0 170 47 0 0 0 0 0 0 0 0 0 0 0 0 15 1 234 66 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 217 0 0 0 15 301 0 0
7721 216 216 298 300 316 111 0 0 166 50 0 0 166 50 0 0 0 0 0 0 0 0 0 0 0 0 16 2 230 68 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 216 0 0 0 16 300 0 0
7797 225 225 303 304 316 97 0 0 181 44 0 0 181 44 0 0 0 0 0 0 0 0 0 0 0 0 12 1 232 71 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 225 0 0 0 12 304 0 0
7873 217 217 296 301 316 97 0 0 166 51 0 0 166 51 0 0 0 0 0 0 0 0 0 0 0 0 15 5 223 73 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 217 0 0 0 15 301 0 0
7935 212 212 300 301 316 110 0 0 157 55 0 0 157 55 0 0 0 0 0 0 0 0 0 0 0 0 15 1 222 78 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 212 0 0 0 15 301 0 0
7999 226 226 297 301 316 117 0 0 167 59 0 0 167 59 0 0 0 0 0 0 0 0 0 0 0 0 15 4 220 77 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 226 0 0 0 15 301 0 0
8061 205 205 295 299 316 103 0 0 147 58 0 0 147 58 0 0 0 0 0 0 0 0 0 0 0 0 17 4 217 78 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 205 0 0 0 17 299 0 0
8151 204 204 293 297 316 100 0 0 148 56 0 0 148 56 0 0 0 0 0 0 0 0 0 0 0 0 19 4 214 79 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 204 0 0 0 19 297 0 0
8218 212 212 296 303 316 95 0 0 149 63 0 0 149 63 0 0 0 0 0 0 0 0 0 0 0 0 13 7 216 80 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 212 0 0 0 13 303 0 0
8307 209 209 293 298 316 91 0 0 148 61 0 0 148 61 0 0 0 0 0 0 0 0 0 0 0 0 18 5 208 85 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 209 0 0 0 18 298 0 0
8369 208 208 296 300 316 95 0 0 146 62 0 0 146 62 0 0 0 0 0 0 0 0 0 0 0 0 16 4 212 84 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 208 0 0 0 16 300 0 0
8442 240 240 301 304 316 101 0 0 171 69 0 0 171 69 0 0 0 0 0 0 0 0 0 0 0 0 12 3 218 83 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 240 0 0 0 12 304 0 0
8503 233 233 295 297 316 100 0 0 177 56 0 0 177 56 0 0 0 0 0 0 0 0 0 0 0 0 19 2 215 80 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 233 0 0 0 19 297 0 0
8589 213 213 299 303 316 100 0 0 159 54 0 0 159 54 0 0 0 0 0 0 0 0 0 0 0 0 13 4 219 80 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 213 0 0 0 13 303 0 0
8652 214 214 296 302 316 92 0 0 157 57 0 0 157 57 0 0 0 0 0 0 0 0 0 0 0 0 14 6 219 77 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 214 0 0 0 14 302 0 0
8736 213 213 301 304 316 124 0 0 160 53 0 0 160 53 0 0 0 0 0 0 0 0 0 0 0 0 12 3 226 75 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 213 0 0 0 12 304 0 0
8818 216 216 298 301 316 94 0 0 166 50 0 0 166 50 0 0 0 0 0 0 0 0 0 0 0 0 15 3 229 69 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 216 0 0 0 15 301 0 0
8903 230 230 294 295 316 97 0 0 178 52 0 0 178 52 0 0 0 0 0 0 0 0 0 0 0 0 21 1 228 66 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 230 0 0 0 21 295 0 0
8974 210 210 294 299 316 102 0 0 157 53 0 0 157 53 0 0 0 0 0 0 0 0 0 0 0 0 17 5 222 72 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 210 0 0 0 17 299 0 0
9090 216 216 298 300 316 101 0 0 156 60 0 0 156 60 0 0 0 0 0 0 0 0 0 0 0 0 16 2 224 74 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 216 0 0 0 16 300 0 0
9154 226 226 301 302 316 88 0 0 165 61 0 0 165 61 0 0 0 0 0 0 0 0 0 0 0 0 14 1 222 79 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 226 0 0 0 14 302 0 0
9236 233 233 299 302 316 92 0 0 171 62 0 0 171 62 0 0 0 0 0 0 0 0 0 0 0 0 14 3 220 79 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 233 0 0 0 14 302 0 0
