Time R RSev TrueR Burden Tested Confirmed StdS StdO StdR StdI SvrS SvrO SvrR SvrI StdV1 StdV2 StdOV1 StdOV2 StdRV StdIV SvrV1 SvrV2 SvrOV1 SvrOV2 SvrRV SvrIV TestS TestO TestR TestI TestV1 TestV2 TestOV1 TestOV2 TestIV TestRV stdDIVAtests svrDIVAtests stdDIVAnegate svrDIVAnegate Replicate Removed PTI HerdSize TestType OnHerd RU RV LU LV SU IU SV IV
180 1 1 1 1 316 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 315 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 1 0 0 0 315 1 0 0
240 2 2 1 1 316 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 315 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 2 0 0 0 315 1 0 0
300 1 1 1 1 316 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 315 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 1 0 0 0 315 1 0 0
360 1 1 1 1 316 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 315 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 1 0 0 0 315 1 0 0
420 1 1 1 1 316 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 315 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 1 0 0 0 315 1 0 0
480 2 2 2 2 316 1 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 314 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 2 0 0 0 314 2 0 0
540 0 0 1 1 316 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 315 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 0 0 0 0 315 1 0 0
600 2 2 1 2 316 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 314 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 2 0 0 0 314 2 0 0
660 2 2 2 2 316 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 314 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 2 0 0 0 314 2 0 0
720 3 3 3 3 316 0 1 0 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 313 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 3 0 0 0 313 3 0 0
780 1 1 3 3 316 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 313 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 1 0 0 0 313 3 0 0
840 1 1 3 3 316 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 313 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 1 0 0 0 313 3 0 0
900 5 5 3 3 316 1 2 0 3 0 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 313 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 5 0 0 0 313 3 0 0
960 5 5 4 5 316 2 2 0 2 1 2 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 311 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 5 0 0 0 311 5 0 0
1020 6 6 7 9 316 2 1 0 5 0 1 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 307 2 6 1 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 6 0 0 0 307 9 0 0
1080 8 8 12 15 316 4 0 0 7 1 0 0 7 1 0 0 0 0 0 0 0 0 0 0 0 0 301 3 10 2 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 8 0 0 0 301 15 0 0
1140 18 18 18 21 316 3 2 0 14 2 2 0 14 2 0 0 0 0 0 0 0 0 0 0 0 0 295 3 16 2 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 18 0 0 0 295 21 0 0
1200 27 27 32 35 316 9 1 0 24 2 1 0 24 2 0 0 0 0 0 0 0 0 0 0 0 0 281 3 30 2 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 27 0 0 0 281 35 0 0
1260 29 29 38 41 316 14 0 0 28 1 0 0 28 1 0 0 0 0 0 0 0 0 0 0 0 0 275 3 36 2 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 29 0 0 0 275 41 0 0
1347 39 39 48 51 316 14 0 0 36 3 0 0 36 3 0 0 0 0 0 0 0 0 0 0 0 0 265 3 44 4 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 39 0 0 0 265 51 0 0
1407 46 46 66 73 316 20 0 0 42 4 0 0 42 4 0 0 0 0 0 0 0 0 0 0 0 0 243 7 62 4 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 46 0 0 0 243 73 0 0
1467 54 54 78 79 316 24 0 0 49 5 0 0 49 5 0 0 0 0 0 0 0 0 0 0 0 0 237 1 72 6 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 54 0 0 0 237 79 0 0
1527 63 63 93 97 316 26 0 0 57 6 0 0 57 6 0 0 0 0 0 0 0 0 0 0 0 0 219 4 86 7 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 63 0 0 0 219 97 0 0
1587 78 78 109 113 316 26 0 0 73 5 0 0 73 5 0 0 0 0 0 0 0 0 0 0 0 0 203 4 102 7 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 78 0 0 0 203 113 0 0
1692 91 91 136 143 316 41 0 0 83 8 0 0 83 8 0 0 0 0 0 0 0 0 0 0 0 0 173 7 124 12 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 91 0 0 0 173 143 0 0
1771 115 115 150 158 316 38 0 0 105 10 0 0 105 10 0 0 0 0 0 0 0 0 0 0 0 0 158 8 137 13 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 115 0 0 0 158 158 0 0
1831 123 123 170 176 316 58 1 0 109 13 1 0 109 13 0 0 0 0 0 0 0 0 0 0 0 0 140 6 154 16 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 123 0 0 0 140 176 0 0
1896 136 136 187 193 316 58 0 0 123 13 0 0 123 13 0 0 0 0 0 0 0 0 0 0 0 0 123 6 168 19 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 136 0 0 0 123 193 0 0
1956 141 141 201 207 316 71 0 0 125 16 0 0 125 16 0 0 0 0 0 0 0 0 0 0 0 0 109 6 181 20 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 141 0 0 0 109 207 0 0
2016 163 163 222 229 316 78 0 0 145 18 0 0 145 18 0 0 0 0 0 0 0 0 0 0 0 0 87 7 200 22 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 163 0 0 0 87 229 0 0
2108 183 183 251 259 316 76 0 0 163 20 0 0 163 20 0 0 0 0 0 0 0 0 0 0 0 0 57 8 224 27 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 183 0 0 0 57 259 0 0
2171 201 201 255 260 316 89 0 0 182 19 0 0 182 19 0 0 0 0 0 0 0 0 0 0 0 0 56 5 225 30 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 201 0 0 0 56 260 0 0
2285 199 199 263 266 316 86 0 0 176 23 0 0 176 23 0 0 0 0 0 0 0 0 0 0 0 0 50 3 230 33 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 199 0 0 0 50 266 0 0
2345 206 206 272 276 316 91 0 0 180 26 0 0 180 26 0 0 0 0 0 0 0 0 0 0 0 0 40 4 238 34 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 206 0 0 0 40 276 0 0
2432 204 204 280 285 316 100 0 0 176 28 0 0 176 28 0 0 0 0 0 0 0 0 0 0 0 0 31 5 241 39 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 204 0 0 0 31 285 0 0
2522 238 238 287 289 316 107 0 0 207 31 0 0 207 31 0 0 0 0 0 0 0 0 0 0 0 0 27 2 248 39 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 238 0 0 0 27 289 0 0
2582 212 212 287 290 316 90 0 0 181 31 0 0 181 31 0 0 0 0 0 0 0 0 0 0 0 0 26 3 245 42 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 212 0 0 0 26 290 0 0
2650 213 213 292 294 316 90 0 0 177 36 0 0 177 36 0 0 0 0 0 0 0 0 0 0 0 0 22 2 244 48 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 213 0 0 0 22 294 0 0
2721 208 208 298 302 316 114 0 0 169 39 0 0 169 39 0 0 0 0 0 0 0 0 0 0 0 0 14 4 249 49 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 208 0 0 0 14 302 0 0
2828 206 206 297 298 316 95 0 0 166 40 0 0 166 40 0 0 0 0 0 0 0 0 0 0 0 0 18 1 247 50 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 206 0 0 0 18 298 0 0
2896 216 216 287 291 316 100 0 0 179 37 0 0 179 37 0 0 0 0 0 0 0 0 0 0 0 0 25 4 240 47 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 216 0 0 0 25 291 0 0
2978 218 218 288 289 316 104 0 0 180 38 0 0 180 38 0 0 0 0 0 0 0 0 0 0 0 0 27 1 239 49 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 218 0 0 0 27 289 0 0
3073 215 215 297 300 316 109 0 0 168 47 0 0 168 47 0 0 0 0 0 0 0 0 0 0 0 0 16 3 242 55 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 215 0 0 0 16 300 0 0
3141 207 207 297 300 316 97 0 0 162 45 0 0 162 45 0 0 0 0 0 0 0 0 0 0 0 0 16 3 240 57 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 207 0 0 0 16 300 0 0
3237 209 209 301 305 316 101 0 0 165 44 0 0 165 44 0 0 0 0 0 0 0 0 0 0 0 0 11 4 243 58 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 209 0 0 0 11 305 0 0
3324 218 218 296 299 316 91 0 1 173 44 0 1 173 44 0 0 0 0 0 0 0 0 0 0 0 0 17 3 230 66 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 218 0 0 0 17 299 0 0
3388 218 218 306 307 316 108 0 0 166 52 0 0 166 52 0 0 0 0 0 0 0 0 0 0 0 0 9 1 242 64 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 218 0 0 0 9 307 0 0
3474 206 206 298 299 316 114 0 0 164 42 0 0 164 42 0 0 0 0 0 0 0 0 0 0 0 0 17 1 235 63 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 206 0 0 0 17 299 0 0
3592 201 201 289 293 316 77 0 0 151 50 0 0 151 50 0 0 0 0 0 0 0 0 0 0 0 0 23 4 225 64 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 201 0 0 0 23 293 0 0
3703 217 217 295 297 316 115 0 0 173 44 0 0 173 44 0 0 0 0 0 0 0 0 0 0 0 0 19 2 235 60 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 217 0 0 0 19 297 0 0
3815 217 217 293 296 316 87 0 0 167 50 0 0 167 50 0 0 0 0 0 0 0 0 0 0 0 0 20 3 227 66 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 217 0 0 0 20 296 0 0
3931 222 222 300 303 316 106 0 0 179 43 0 0 179 43 0 0 0 0 0 0 0 0 0 0 0 0 13 3 235 65 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 222 0 0 0 13 303 0 0
4009 213 213 293 295 316 99 0 0 166 47 0 0 166 47 0 0 0 0 0 0 0 0 0 0 0 0 21 2 230 63 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 213 0 0 0 21 295 0 0
4084 234 234 303 305 316 96 0 0 186 48 0 0 186 48 0 0 0 0 0 0 0 0 0 0 0 0 11 2 240 63 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 234 0 0 0 11 305 0 0
4194 215 215 296 298 316 95 0 0 170 45 0 0 170 45 0 0 0 0 0 0 0 0 0 0 0 0 18 2 231 65 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 215 0 0 0 18 298 0 0
4257 226 226 294 296 316 95 0 0 172 54 0 0 172 54 0 0 0 0 0 0 0 0 0 0 0 0 20 2 226 68 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 226 0 0 0 20 296 0 0
4360 210 210 294 297 316 104 0 0 157 53 0 0 157 53 0 0 0 0 0 0 0 0 0 0 0 0 19 3 225 69 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 210 0 0 0 19 297 0 0
4425 209 209 297 303 316 94 0 0 168 41 0 0 168 41 0 0 0 0 0 0 0 0 0 0 0 0 13 6 230 67 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 209 0 0 0 13 303 0 0
4499 220 220 299 303 316 109 0 0 173 47 0 0 173 47 0 0 0 0 0 0 0 0 0 0 0 0 13 4 232 67 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 220 0 0 0 13 303 0 0
4590 218 218 298 303 316 110 1 0 170 47 1 0 170 47 0 0 0 0 0 0 0 0 0 0 0 0 13 5 227 71 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 218 0 0 0 13 303 0 0
4667 221 221 301 303 316 111 0 0 165 56 0 0 165 56 0 0 0 0 0 0 0 0 0 0 0 0 13 2 228 73 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 221 0 0 0 13 303 0 0
4756 215 215 298 300 316 108 0 0 165 50 0 0 165 50 0 0 0 0 0 0 0 0 0 0 0 0 16 2 216 82 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 215 0 0 0 16 300 0 0
4840 217 217 298 301 316 99 0 0 157 60 0 0 157 60 0 0 0 0 0 0 0 0 0 0 0 0 15 3 215 83 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 217 0 0 0 15 301 0 0
4906 213 213 297 300 316 92 1 0 149 63 1 0 149 63 0 0 0 0 0 0 0 0 0 0 0 0 16 3 214 83 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 213 0 0 0 16 300 0 0
4992 221 221 304 307 316 94 0 0 153 68 0 0 153 68 0 0 0 0 0 0 0 0 0 0 0 0 9 3 216 88 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 221 0 0 0 9 307 0 0
5079 212 212 300 307 316 103 0 0 157 55 0 0 157 55 0 0 0 0 0 0 0 0 0 0 0 0 9 7 215 85 0 0 0 0 0 0 0 0 0 0 0 0 1 5730 2 316 212 0 0 0 9 307 0 0
