0 14 227 178 352 21 220 32 498 43 198 77 453 66 175 151 379 530 241 105 425 0 70 30 79 1 69 2 107 4 66 8 101 9 61 16 93 109 70 39 70 1 50 10 40 1 50 2 48 3 48 5 45 6 45 9 41 50 51 28 22
1 32 388 350 530 26 394 84 796 58 362 206 674 126 294 352 528 880 420 227 653 13 148 76 136 14 147 14 198 25 136 30 182 43 118 63 149 212 161 85 127 9 119 35 68 4 124 7 96 14 114 15 88 21 107 22 81 103 128 54 49
2 32 201 269 300 22 211 71 498 59 174 160 409 97 136 273 296 569 233 167 402 17 113 77 88 4 126 18 147 16 114 37 128 34 96 72 93 165 130 65 100 11 110 40 48 6 115 4 84 14 107 11 77 22 99 21 67 88 121 42 46
3 21 129 170 195 21 129 43 322 36 114 103 262 67 83 198 167 365 150 121 244 13 51 61 35 10 54 18 78 16 48 30 66 28 36 46 50 96 64 36 60 3 76 29 42 6 73 2 69 12 67 7 64 24 55 15 56 71 79 43 28
4 12 61 129 106 12 61 28 207 23 50 81 154 34 39 135 100 235 73 88 147 7 39 27 35 7 39 11 51 9 37 20 42 13 33 29 33 62 46 26 36 3 47 21 35 3 47 5 51 9 41 12 44 11 39 18 38 56 50 30 26
5 9 24 86 56 4 29 24 118 8 25 51 91 16 17 82 60 142 33 55 87 1 21 28 15 1 21 6 37 3 19 15 28 7 15 23 20 43 22 22 21 6 25 14 24 2 29 4 34 8 23 7 31 14 17 14 24 38 31 24 14
6 8 54 140 94 9 53 51 183 19 43 99 135 31 31 154 80 234 62 102 132 13 34 36 30 8 39 12 54 18 29 26 40 27 20 40 26 66 47 31 35 14 57 39 72 8 63 13 98 10 61 28 83 22 49 42 69 111 71 84 27
