Time R RSev TrueR Burden Tested Confirmed StdS StdO StdR StdI SvrS SvrO SvrR SvrI StdV1 StdV2 StdOV1 StdOV2 StdRV StdIV SvrV1 SvrV2 SvrOV1 SvrOV2 SvrRV SvrIV TestS TestO TestR TestI TestV1 TestV2 TestOV1 TestOV2 TestIV TestRV stdDIVAtests svrDIVAtests stdDIVAnegate svrDIVAnegate Replicate Removed PTI HerdSize TestType OnHerd RU RV LU LV SU IU SV IV
180 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 0 0 0 0 110 0 0 0
360 1 1 0 0 110 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 1 0 0 0 110 0 0 0
420 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 0 0 0 0 110 0 0 0
598 0 0 1 1 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 109 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 0 0 0 0 109 1 0 0
658 1 1 1 1 110 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 109 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 1 0 0 0 109 1 0 0
718 1 1 1 1 110 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 109 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 1 0 0 0 109 1 0 0
778 1 1 1 2 110 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 108 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 1 0 0 0 108 2 0 0
838 1 1 2 2 110 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 108 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 1 0 0 0 108 2 0 0
898 3 3 2 2 110 1 1 0 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 108 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 3 0 0 0 108 2 0 0
958 1 1 3 4 110 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 106 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 1 0 0 0 106 4 0 0
