Time R RSev TrueR Burden Tested Confirmed StdS StdO StdR StdI SvrS SvrO SvrR SvrI StdV1 StdV2 StdOV1 StdOV2 StdRV StdIV SvrV1 SvrV2 SvrOV1 SvrOV2 SvrRV SvrIV TestS TestO TestR TestI TestV1 TestV2 TestOV1 TestOV2 TestIV TestRV stdDIVAtests svrDIVAtests stdDIVAnegate svrDIVAnegate Replicate Removed PTI HerdSize TestType OnHerd RU RV LU LV SU IU SV IV
1018 2 2 3 3 110 2 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 107 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 2 0 0 0 107 3 0 0
1113 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 0 0 0 0 110 0 0 0
1173 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 0 0 0 0 110 0 0 0
1353 1 1 0 0 110 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 1 0 0 0 110 0 0 0
1413 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 0 0 0 0 110 0 0 0
1593 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 0 0 0 0 110 0 0 0
1773 1 1 1 1 110 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 109 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 1 0 0 0 109 1 0 0
1833 1 1 1 1 110 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 109 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 1 0 0 0 109 1 0 0
1893 1 1 1 1 110 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 109 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 1 0 0 0 109 1 0 0
1953 1 1 2 3 110 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 107 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 1 0 0 0 107 3 0 0
2013 1 1 3 3 110 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 107 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 1 0 0 0 107 3 0 0
2073 1 1 3 3 110 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 107 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 1 0 0 0 107 3 0 0
2133 3 3 3 3 110 3 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 107 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 3 0 0 0 107 3 0 0
2193 2 2 3 3 110 1 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 107 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 2 0 0 0 107 3 0 0
2253 3 3 4 4 110 1 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 106 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 3 0 0 0 106 4 0 0
2313 2 2 4 4 110 1 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 106 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 2 0 0 0 106 4 0 0
2422 3 3 5 5 110 1 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 105 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 3 0 0 0 105 5 0 0
2482 5 5 5 5 110 4 0 0 5 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 105 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 5 0 0 0 105 5 0 0
2542 4 4 5 5 110 3 0 0 4 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 105 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 4 0 0 0 105 5 0 0
2649 3 3 5 5 110 3 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 105 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 3 0 0 0 105 5 0 0
2709 6 6 6 6 110 2 1 0 5 0 1 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 104 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 6 0 0 0 104 6 0 0
2769 6 6 7 7 110 1 0 0 6 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 103 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 6 0 0 0 103 7 0 0
2829 6 6 7 7 110 3 0 0 6 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 103 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 6 0 0 0 103 7 0 0
2889 7 7 7 7 110 2 0 0 7 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 103 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 7 0 0 0 103 7 0 0
2949 8 8 9 9 110 3 0 0 8 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 101 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 8 0 0 0 101 9 0 0
3009 7 7 9 9 110 2 0 0 7 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 101 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 7 0 0 0 101 9 0 0
3069 10 10 10 11 110 5 1 0 9 0 1 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 99 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 10 0 0 0 99 11 0 0
3129 5 5 11 11 110 2 0 0 5 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 99 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 5 0 0 0 99 11 0 0
3189 7 7 9 9 110 3 0 0 7 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 101 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 7 0 0 0 101 9 0 0
3249 5 5 11 11 110 2 0 0 5 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 99 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 5 0 0 0 99 11 0 0
3309 8 8 11 11 110 6 0 0 8 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 99 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6247 2 110 8 0 0 0 99 11 0 0
3309 9 9 11 11 110 5 0 0 9 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 99 0 11 0 0 0 0 0 0 0 0 0 0 0 0 14 1 6247 2 110 9 0 11 0 96 0 0 0
