Herd, Vaccinated, Birth_time, Death_time, Vaccination_time, Reactor, VL
6247,0,-401.174,12.0054,-1,0,0
6247,0,-445.019,12.1887,-1,0,0
6247,0,-465.036,12.2051,-1,0,0
6247,0,-465.016,12.2276,-1,0,0
6247,0,-1097.01,25.0024,-1,0,0
6247,0,-382.104,36.9891,-1,0,0
6247,0,-377.205,37.0085,-1,0,0
6247,0,-384.246,37.762,-1,0,0
6247,0,-388.226,37.8121,-1,0,0
6247,0,-388.206,37.8947,-1,0,0
6247,0,-384.222,37.9476,-1,0,0
6247,0,-389.095,37.9619,-1,0,0
6247,0,-394.098,38.0291,-1,0,0
6247,0,-390.077,38.0531,-1,0,0
6247,0,-390.021,38.0743,-1,0,0
6247,0,-431.12,38.1123,-1,0,0
6247,0,-389.065,38.1533,-1,0,0
6247,0,-5.12016,44.9952,-1,0,0
6247,0,-5.07156,45.1428,-1,0,0
6247,0,-377.191,74.886,-1,0,0
6247,0,-377.083,75.164,-1,0,0
6247,0,-352.035,75.2152,-1,0,0
6247,0,-390.192,75.983,-1,0,0
6247,0,-390.039,76.1077,-1,0,0
6247,0,-331.217,128.97,-1,0,0
6247,0,-5579.13,145.919,-1,0,0
6247,0,-5579.08,146.167,-1,0,0
6247,0,-6051.19,173.898,-1,0,0
6247,0,-4052.14,185.925,-1,0,0
6247,0,-4052.11,185.932,-1,0,0
6247,0,146.014,196.247,-1,0,0
6247,0,-255.123,211.986,-1,0,0
6247,0,-255.169,212.015,-1,0,0
6247,0,-257.164,212.059,-1,0,0
6247,0,-3122.04,374.106,-1,0,0
6247,0,-4412.03,374.976,-1,0,0
6247,0,-5734.08,397.034,-1,0,0
6247,0,-5601.01,398.016,-1,0,0
6247,0,397.011,407.085,-1,0,0
6247,0,12.042,422.126,-1,0,0
6247,0,12.1022,425.176,-1,0,0
6247,0,12.0186,439.217,-1,0,0
6247,0,38.0112,452.126,-1,0,0
6247,0,36.7657,463.844,-1,0,0
6247,0,-27.0116,823.084,-1,0,0
6247,0,424.951,474.986,-1,0,0
6247,0,-136.076,718.072,-1,0,0
6247,0,-137.153,703.895,-1,0,0
6247,0,-137.084,704.089,-1,0,0
6247,0,-137.026,704.038,-1,0,0
6247,0,-137.242,703.758,-1,0,0
6247,0,-390.056,493.064,-1,0,0
6247,0,37.7982,504.882,-1,0,0
6247,0,38.0707,888.312,-1,0,0
6247,0,44.9302,514.047,-1,0,0
6247,0,44.9323,514.067,-1,0,0
6247,0,-383.111,515.894,-1,0,0
6247,0,-383.123,515.904,-1,0,0
6247,0,-390.108,515.965,-1,0,0
6247,0,-383.07,516.038,-1,0,0
6247,0,37.8075,516.897,-1,0,0
6247,0,37.8242,891.938,-1,0,0
6247,0,-376.065,527.112,-1,0,0
6247,0,-372.069,527.116,-1,0,0
6247,0,-372.031,527.162,-1,0,0
6247,0,487.036,537.269,-1,0,0
6247,0,75.8775,543.023,-1,0,0
6247,0,37.8211,568.945,-1,0,0
6247,0,-137.069,601.099,-1,0,0
6247,0,-4.09235,674.06,-1,0,0
6247,0,-4.14636,787.079,-1,0,0
6247,0,-4.02246,674.212,-1,0,0
6247,0,-5.10892,793.976,-1,0,0
6247,0,-5.03189,674.063,-1,0,0
6247,0,-6.20447,804.008,-1,0,0
6247,0,-6.16454,804.041,-1,0,0
6247,0,-6.23505,703.855,-1,0,0
6247,0,-6.01023,804.217,-1,0,0
6247,0,-7.14515,746.002,-1,0,0
6247,0,-3094.1,594.059,-1,0,0
6247,0,-18.2455,842.926,-1,0,0
6247,0,11.8643,690.113,-1,0,0
6247,0,-18.0979,674.109,-1,0,0
6247,0,-18.0266,886.192,-1,0,0
6247,0,-18.0729,885.962,-1,0,0
