HerdSize,PTI,Prolonged,Recurr,Break6,Break12,Break24,Forward_Trans,Reactors_at_Start,BreakTime,Slaughter,Confirmation,Confirmed,Breaklength,Reactors,Visits,Tests,Burden,Onward_Trans
30,1,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
30,1,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
90,1,nan,NA,nan,nan,nan,NA,nan,NA,nan,0,1,nan,nan,nan,nan,nan,nan
90,1,0,NA,1,1,1,NA,1,NA,nan,0,0,60,1,1,4510,0,46
150,1,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
150,1,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
210,1,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
210,1,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
270,1,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
270,1,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
330,1,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
330,1,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
390,1,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
390,1,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
30,2,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
30,2,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
90,2,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
90,2,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
150,2,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
150,2,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
210,2,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
210,2,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
270,2,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
270,2,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
330,2,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
330,2,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
390,2,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
390,2,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
30,4,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
30,4,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
90,4,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
90,4,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
150,4,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
150,4,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
210,4,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
210,4,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
270,4,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
270,4,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
330,4,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
330,4,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
390,4,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,1,nan,nan,nan,nan,nan,nan
390,4,nan,NA,nan,nan,nan,NA,nan,NA,nan,nan,0,nan,nan,nan,nan,nan,nan
