"","pT","pFP","pTs","pFPs","TO","beta","q","X1","X2","X4","pC","pRI","TR"
"1",0.472834733391611,0.000131104579968144,0.717478424554851,0.000501742234367569,0.00570660617082764,0.0098832967412825,0.282455468615578,1.01841823187069e-05,1.01626558242877e-05,1.7288588998861e-06,0.259287255063554,0.0471235522791016,0.771244429158957
"2",0.448391035952369,0.000108146032027227,0.950881479751364,0.000437843454282369,0.23279822474458,0.0104383124391293,0.754815286926116,1.20758107558255e-05,6.12591589009862e-06,2.51342334232747e-06,0.277879911718841,0.0331700814717376,0.0904966034118716
"3",0.404898979978905,4.34658653986804e-05,0.501620259249796,0.000210758521797024,0.0448086147914431,0.00783073047017169,0.961834974721312,1.23573173325721e-05,5.09435675207232e-06,1.62761876870587e-06,0.313666246590605,0.0375683654084888,0.113355542046746
"4",0.404147152692469,6.43683791300615e-05,0.598262984035348,0.000201025684499815,0.0146901238127223,0.0107532772213325,0.840721694549727,7.67497669086838e-06,5.68945564604036e-06,2.042130157954e-06,0.257311526316693,0.0374422867904324,0.976442492506356
"5",0.412701460287078,3.74408720581673e-06,0.477053192263524,2.97399546421151e-05,0.111036597512283,0.00816921619052265,0.973679689288337,7.93039207486357e-06,5.21002518581243e-06,1.24105508574595e-06,0.192342339931855,0.0281224944604999,0.251434122248617
"6",0.592846247686737,3.43457472058929e-06,0.686913815398686,0.00121005527917781,0.204374101782648,0.0103951557699694,0.732789264408163,8.80923868831693e-06,4.95454441870887e-06,2.99227485950553e-06,0.276986933184701,0.029894943587539,0.0366500410364493
"7",0.561344566610499,8.67437593327897e-06,0.659112998307705,0.0001668172959686,0.312286877678491,0.00968538423229609,0.482289687374563,1.08924463539756e-05,8.4059564900348e-06,1.31531326923363e-06,0.264750368240594,0.0321808265553192,0.372328777505743
"8",0.410540782849771,3.13705306717912e-05,0.463370337855389,0.00184854764621286,0.0378520824318118,0.00929899687040418,0.888533658199044,8.90050265016309e-06,6.24195525554577e-06,1.90851581819536e-06,0.187052160141589,0.0281714610873215,0.188992377927017
"9",0.409618887023029,3.42379769749014e-06,0.540701513325915,0.000382491058513715,0.0193627038167424,0.00793482314761092,0.515801603834446,7.25915469620741e-06,6.87893185951566e-06,1.15074881909725e-06,0.200052861267355,0.0280968734540108,0.698044158209342
"10",0.241372704145476,5.07132238720075e-05,0.46593998045748,0.000696239399117546,0.0310158940812615,0.00674030075017301,0.584807128194075,1.27111526914795e-05,4.18685798590248e-06,1.45875878959628e-06,0.199278056301651,0.020807967531388,0.108370145231092
